Cod,Favela_completa,Sigla,Favela,Municipio,Domicilios
11000490002,Avenida 07 de Setembro - Cacoal (RO),RO,Avenida 07 de Setembro,Cacoal,29
11000490006,Vitória - Cacoal (RO),RO,Vitória,Cacoal,204
11001060003,Santa Luzia - Guajará-Mirim (RO),RO,Santa Luzia,Guajará-Mirim,214
11001060004,Nossa Senhora de Fátima - Guajará-Mirim (RO),RO,Nossa Senhora de Fátima,Guajará-Mirim,194
11001060005,Jardim das Esmeraldas - Guajará-Mirim (RO),RO,Jardim das Esmeraldas,Guajará-Mirim,401
11001060006,Triângulo Novo - Guajará-Mirim (RO),RO,Triângulo Novo,Guajará-Mirim,256
11002050002,Nova Esperança - Porto Velho (RO),RO,Nova Esperança,Porto Velho,647
11002050003,Aponiã A - Porto Velho (RO),RO,Aponiã A,Porto Velho,787
11002050004,Areia Branca - Porto Velho (RO),RO,Areia Branca,Porto Velho,639
11002050005,Baixa da União - Porto Velho (RO),RO,Baixa da União,Porto Velho,164
11002050006,Cidade Nova II - Porto Velho (RO),RO,Cidade Nova II,Porto Velho,2760
11002050007,Eletronorte - Porto Velho (RO),RO,Eletronorte,Porto Velho,387
11002050008,Esperança da Comunidade - Porto Velho (RO),RO,Esperança da Comunidade,Porto Velho,623
11002050009,Floresta III - Porto Velho (RO),RO,Floresta III,Porto Velho,314
11002050010,Jardim Santana IV - Porto Velho (RO),RO,Jardim Santana IV,Porto Velho,289
11002050011,Maringá - Porto Velho (RO),RO,Maringá,Porto Velho,629
11002050012,Mato Grosso - Porto Velho (RO),RO,Mato Grosso,Porto Velho,130
11002050013,Mocambo - Porto Velho (RO),RO,Mocambo,Porto Velho,325
11002050014,Nacional - Porto Velho (RO),RO,Nacional,Porto Velho,2978
11002050016,Novo Horizonte - Porto Velho (RO),RO,Novo Horizonte,Porto Velho,1823
11002050017,Fora do Perímetro VI - Porto Velho (RO),RO,Fora do Perímetro VI,Porto Velho,1136
11002050018,Planalto III - Porto Velho (RO),RO,Planalto III,Porto Velho,404
11002050019,Cidade Jardim IV - Porto Velho (RO),RO,Cidade Jardim IV,Porto Velho,435
11002050020,Roque A - Porto Velho (RO),RO,Roque A,Porto Velho,285
11002050021,Roque III - Porto Velho (RO),RO,Roque III,Porto Velho,224
11002050022,São Sebastião III - Porto Velho (RO),RO,São Sebastião III,Porto Velho,233
11002050023,Teixeirão - Porto Velho (RO),RO,Teixeirão,Porto Velho,347
11002050024,Três Marias II - Porto Velho (RO),RO,Três Marias II,Porto Velho,281
11002050025,Triângulo - Porto Velho (RO),RO,Triângulo,Porto Velho,466
11002050026,Tucumanzal - Porto Velho (RO),RO,Tucumanzal,Porto Velho,250
11002050031,Cidade Jardim III - Porto Velho (RO),RO,Cidade Jardim III,Porto Velho,108
11002050032,Caixa D'água - Porto Velho (RO),RO,Caixa D'água,Porto Velho,126
11002050034,Cascalheira - Porto Velho (RO),RO,Cascalheira,Porto Velho,272
11002050035,Costa e Silva - Porto Velho (RO),RO,Costa e Silva,Porto Velho,487
11002050036,Jardim Santana III - Porto Velho (RO),RO,Jardim Santana III,Porto Velho,210
11002050037,Lagoa Azul - Porto Velho (RO),RO,Lagoa Azul,Porto Velho,566
11002050038,Militão - Porto Velho (RO),RO,Militão,Porto Velho,460
11002050039,Fora do Perímetro II - Porto Velho (RO),RO,Fora do Perímetro II,Porto Velho,569
11002050040,Jardim Santana II - Porto Velho (RO),RO,Jardim Santana II,Porto Velho,566
11002050041,Castanheira I - Porto Velho (RO),RO,Castanheira I,Porto Velho,264
11002050042,Floresta II - Porto Velho (RO),RO,Floresta II,Porto Velho,404
11002050043,Cohab II - Porto Velho (RO),RO,Cohab II,Porto Velho,842
11002050044,Floresta I - Porto Velho (RO),RO,Floresta I,Porto Velho,541
11002050045,Cohab I - Porto Velho (RO),RO,Cohab I,Porto Velho,323
11002050046,São Sebastião II - Porto Velho (RO),RO,São Sebastião II,Porto Velho,216
11002050047,Cohab III - Porto Velho (RO),RO,Cohab III,Porto Velho,428
11002050048,São Sebastião I - Porto Velho (RO),RO,São Sebastião I,Porto Velho,243
11002050049,Mariana B - Porto Velho (RO),RO,Mariana B,Porto Velho,1463
11002050050,Planalto I - Porto Velho (RO),RO,Planalto I,Porto Velho,646
11002050051,Fora do Perímetro V - Porto Velho (RO),RO,Fora do Perímetro V,Porto Velho,916
11002050052,Socialista II - Porto Velho (RO),RO,Socialista II,Porto Velho,1189
11002050053,Socialista I - Porto Velho (RO),RO,Socialista I,Porto Velho,412
11002050054,Roque I - Porto Velho (RO),RO,Roque I,Porto Velho,27
11002050055,Roque C - Porto Velho (RO),RO,Roque C,Porto Velho,299
11002050056,Roque II - Porto Velho (RO),RO,Roque II,Porto Velho,123
11002050057,Três Marias I - Porto Velho (RO),RO,Três Marias I,Porto Velho,1044
11002050058,Panair - Porto Velho (RO),RO,Panair,Porto Velho,157
11002050059,Fora do Perímetro I - Porto Velho (RO),RO,Fora do Perímetro I,Porto Velho,180
11002050060,Planalto II - Porto Velho (RO),RO,Planalto II,Porto Velho,121
11002050061,Fora do Perímetro III - Porto Velho (RO),RO,Fora do Perímetro III,Porto Velho,416
11002050062,Fora do Perímetro IV - Porto Velho (RO),RO,Fora do Perímetro IV,Porto Velho,128
11002050063,Pantanal - Porto Velho (RO),RO,Pantanal,Porto Velho,256
11002050064,Jardim Santana I - Porto Velho (RO),RO,Jardim Santana I,Porto Velho,174
11002050065,Socialista III - Porto Velho (RO),RO,Socialista III,Porto Velho,75
11002050066,Socialista IV - Porto Velho (RO),RO,Socialista IV,Porto Velho,113
11002050067,Cidade Jardim I - Porto Velho (RO),RO,Cidade Jardim I,Porto Velho,175
11002050068,Cidade Jardim II - Porto Velho (RO),RO,Cidade Jardim II,Porto Velho,322
11002050069,São Francisco II - Porto Velho (RO),RO,São Francisco II,Porto Velho,257
11002050070,Marcos Freire - Porto Velho (RO),RO,Marcos Freire,Porto Velho,296
11002050071,Cidade Jardim V - Porto Velho (RO),RO,Cidade Jardim V,Porto Velho,81
11002050072,São Francisco I - Porto Velho (RO),RO,São Francisco I,Porto Velho,206
11002050073,Castanheira III - Porto Velho (RO),RO,Castanheira III,Porto Velho,98
11002050074,Castanheira II - Porto Velho (RO),RO,Castanheira II,Porto Velho,409
11002050075,Cidade do Lobo - Porto Velho (RO),RO,Cidade do Lobo,Porto Velho,315
12001040001,Centro - Brasiléia (AC),AC,Centro,Brasiléia,239
12001040002,Bairro 28 de Maio - Brasiléia (AC),AC,Bairro 28 de Maio,Brasiléia,211
12001040003,Leonardo Barbosa - Brasiléia (AC),AC,Leonardo Barbosa,Brasiléia,395
12001040004,Loteamento José Lima - Brasiléia (AC),AC,Loteamento José Lima,Brasiléia,201
12001040005,Invasão do Marcos Galvão - Brasiléia (AC),AC,Invasão do Marcos Galvão,Brasiléia,45
12001040006,José Meireles - Brasiléia (AC),AC,José Meireles,Brasiléia,71
12001040007,Invasão Nova Esperança - Brasiléia (AC),AC,Invasão Nova Esperança,Brasiléia,146
12001040008,Invasão 30 de Julho - Brasiléia (AC),AC,Invasão 30 de Julho,Brasiléia,238
12001040009,Samaúma 1 - Brasiléia (AC),AC,Samaúma 1,Brasiléia,63
12001040010,Olegário França - Brasiléia (AC),AC,Olegário França,Brasiléia,88
12002030001,Lagoa - Cruzeiro do Sul (AC),AC,Lagoa,Cruzeiro do Sul,152
12002030002,Cruzeirinho - Cruzeiro do Sul (AC),AC,Cruzeirinho,Cruzeiro do Sul,282
12002030003,Manoel Terças - Cruzeiro do Sul (AC),AC,Manoel Terças,Cruzeiro do Sul,107
12002030004,Várzea - Cruzeiro do Sul (AC),AC,Várzea,Cruzeiro do Sul,545
12002030005,Miritizal de Cima - Cruzeiro do Sul (AC),AC,Miritizal de Cima,Cruzeiro do Sul,790
12002030006,Miritizal de Baixo - Cruzeiro do Sul (AC),AC,Miritizal de Baixo,Cruzeiro do Sul,386
12002030008,Cohab - Cruzeiro do Sul (AC),AC,Cohab,Cruzeiro do Sul,609
12002030009,Remanso - Cruzeiro do Sul (AC),AC,Remanso,Cruzeiro do Sul,56
12002030010,Tiro ao alvo - Cruzeiro do Sul (AC),AC,Tiro ao alvo,Cruzeiro do Sul,188
12002030011,25 de Agosto - Cruzeiro do Sul (AC),AC,25 de Agosto,Cruzeiro do Sul,360
12002030012,João Alves - Cruzeiro do Sul (AC),AC,João Alves,Cruzeiro do Sul,605
12002030013,Saboeiro I - Cruzeiro do Sul (AC),AC,Saboeiro I,Cruzeiro do Sul,220
12002030014,Cruzeirão - Cruzeiro do Sul (AC),AC,Cruzeirão,Cruzeiro do Sul,139
12002030015,Cumarú - Cruzeiro do Sul (AC),AC,Cumarú,Cruzeiro do Sul,68
12002030016,Ramal dos Olivenses - Cruzeiro do Sul (AC),AC,Ramal dos Olivenses,Cruzeiro do Sul,82
12002030017,Saboeiro II - Cruzeiro do Sul (AC),AC,Saboeiro II,Cruzeiro do Sul,103
12002520001,Aeroporto - Epitaciolândia (AC),AC,Aeroporto,Epitaciolândia,118
12002520005,Ocupação da Nazinha - Epitaciolândia (AC),AC,Ocupação da Nazinha,Epitaciolândia,87
12002520007,Assentamento Bahia - Epitaciolândia (AC),AC,Assentamento Bahia,Epitaciolândia,78
12002520008,Beira Rio - Epitaciolândia (AC),AC,Beira Rio,Epitaciolândia,76
12002520009,José Inácio da Silva - Epitaciolândia (AC),AC,José Inácio da Silva,Epitaciolândia,140
12002520010,Liberdade - Epitaciolândia (AC),AC,Liberdade,Epitaciolândia,390
12004010001,Ayrton Senna - Rio Branco (AC),AC,Ayrton Senna,Rio Branco,706
12004010002,Dom Giocondo - Rio Branco (AC),AC,Dom Giocondo,Rio Branco,105
12004010004,Preventório - Rio Branco (AC),AC,Preventório,Rio Branco,370
12004010005,Baixada da Cadeia Velha - Rio Branco (AC),AC,Baixada da Cadeia Velha,Rio Branco,760
12004010006,Taquari - Rio Branco (AC),AC,Taquari,Rio Branco,1667
12004010007,Triângulo - Rio Branco (AC),AC,Triângulo,Rio Branco,401
12004010008,Cidade Nova - Rio Branco (AC),AC,Cidade Nova,Rio Branco,1536
12004010009,06 de Agosto - Rio Branco (AC),AC,06 de Agosto,Rio Branco,1218
12004010010,Canaã - Rio Branco (AC),AC,Canaã,Rio Branco,1032
12004010011,Aeroporto Velho - Rio Branco (AC),AC,Aeroporto Velho,Rio Branco,695
12004010013,Baixada da Habitasa - Rio Branco (AC),AC,Baixada da Habitasa,Rio Branco,1155
12004010015,Adalberto Aragão - Rio Branco (AC),AC,Adalberto Aragão,Rio Branco,336
12004010016,Alto Alegre - Rio Branco (AC),AC,Alto Alegre,Rio Branco,424
12004010017,Areal - Rio Branco (AC),AC,Areal,Rio Branco,553
12004010018,Belo Jardim - Rio Branco (AC),AC,Belo Jardim,Rio Branco,810
12004010020,Caladinho - Rio Branco (AC),AC,Caladinho,Rio Branco,648
12004010021,Casa Nova - Rio Branco (AC),AC,Casa Nova,Rio Branco,227
12004010022,Comara - Rio Branco (AC),AC,Comara,Rio Branco,357
12004010023,Hélio Melo - Rio Branco (AC),AC,Hélio Melo,Rio Branco,224
12004010024,Jardim Primavera - Rio Branco (AC),AC,Jardim Primavera,Rio Branco,236
12004010025,João Eduardo II - Rio Branco (AC),AC,João Eduardo II,Rio Branco,77
12004010026,Laélia Alcântara - Rio Branco (AC),AC,Laélia Alcântara,Rio Branco,96
12004010027,Morada do Sol - Rio Branco (AC),AC,Morada do Sol,Rio Branco,100
12004010028,Nova Esperança - Rio Branco (AC),AC,Nova Esperança,Rio Branco,311
12004010029,Palheiral - Rio Branco (AC),AC,Palheiral,Rio Branco,441
12004010030,Geraldo Fleming - Rio Branco (AC),AC,Geraldo Fleming,Rio Branco,190
12004010031,Bairro da Paz I - Rio Branco (AC),AC,Bairro da Paz I,Rio Branco,329
12004010032,São Francisco I - Rio Branco (AC),AC,São Francisco I,Rio Branco,49
12004010033,São Sebastião - Rio Branco (AC),AC,São Sebastião,Rio Branco,149
12004010034,Sobral - Rio Branco (AC),AC,Sobral,Rio Branco,257
12004010036,Vitória - Rio Branco (AC),AC,Vitória,Rio Branco,243
12004010037,Invasão do Amapá - Rio Branco (AC),AC,Invasão do Amapá,Rio Branco,226
12004010038,Invasão do Sabiá - Rio Branco (AC),AC,Invasão do Sabiá,Rio Branco,100
12004010039,Recanto dos Buritis - Rio Branco (AC),AC,Recanto dos Buritis,Rio Branco,436
12004010041,Ouricuri - Rio Branco (AC),AC,Ouricuri,Rio Branco,96
12004010043,Placas - Rio Branco (AC),AC,Placas,Rio Branco,111
12004010045,São Francisco II - Rio Branco (AC),AC,São Francisco II,Rio Branco,198
12004010046,Joafra - Rio Branco (AC),AC,Joafra,Rio Branco,97
12004010047,Bairro da Paz II - Rio Branco (AC),AC,Bairro da Paz II,Rio Branco,123
12004010048,LBA Vila Betel - Rio Branco (AC),AC,LBA Vila Betel,Rio Branco,99
12004010049,Bahia - Rio Branco (AC),AC,Bahia,Rio Branco,382
12004010050,Boa União - Rio Branco (AC),AC,Boa União,Rio Branco,88
12004010051,Glória - Rio Branco (AC),AC,Glória,Rio Branco,251
12004010052,Base - Rio Branco (AC),AC,Base,Rio Branco,319
12004010053,Quinze - Rio Branco (AC),AC,Quinze,Rio Branco,1152
12004010054,Santa Inês - Rio Branco (AC),AC,Santa Inês,Rio Branco,124
12004010055,Vista Linda - Rio Branco (AC),AC,Vista Linda,Rio Branco,158
13000600001,Favelinha - Amaturá (AM),AM,Favelinha,Amaturá,282
13000600002,São Francisco - Amaturá (AM),AM,São Francisco,Amaturá,342
13001020001,Vila Izabel - Anori (AM),AM,Vila Izabel,Anori,657
13001020002,Bairro Jefferson Peres - Anori (AM),AM,Bairro Jefferson Peres,Anori,105
13001020003,Vila Raimunda - Anori (AM),AM,Vila Raimunda,Anori,525
13004090001,Marara - Barcelos (AM),AM,Marara,Barcelos,274
13004090002,Mariua - Barcelos (AM),AM,Mariua,Barcelos,199
13004090003,Santo Antônio - Barcelos (AM),AM,Santo Antônio,Barcelos,76
13005080001,Nova Conquista - Barreirinha (AM),AM,Nova Conquista,Barreirinha,748
13006070001,Javarizinho - Benjamin Constant (AM),AM,Javarizinho,Benjamin Constant,706
13006070002,Baixada Fluminense - Benjamin Constant (AM),AM,Baixada Fluminense,Benjamin Constant,546
13006070004,Ocupação Irregular Ponta Negra - Benjamin Constant (AM),AM,Ocupação Irregular Ponta Negra,Benjamin Constant,77
13006800001,São Sebastião - Boa Vista do Ramos (AM),AM,São Sebastião,Boa Vista do Ramos,179
13006800002,Bairro Monte Sião - Boa Vista do Ramos (AM),AM,Bairro Monte Sião,Boa Vista do Ramos,251
13007060001,Shan - Boca do Acre (AM),AM,Shan,Boca do Acre,348
13007060002,Conjunto Antonio Jorge - Boca do Acre (AM),AM,Conjunto Antonio Jorge,Boca do Acre,165
13007060003,Conjunto João Pedro - Boca do Acre (AM),AM,Conjunto João Pedro,Boca do Acre,564
13007060004,Rabo da Cobra - Boca do Acre (AM),AM,Rabo da Cobra,Boca do Acre,342
13010010001,Ponte do Futuro - Carauari (AM),AM,Ponte do Futuro,Carauari,460
13010010002,Conjunto da Caixa - Carauari (AM),AM,Conjunto da Caixa,Carauari,578
13012090001,Oriente - Coari (AM),AM,Oriente,Coari,279
13012090002,Ciganópolis - Coari (AM),AM,Ciganópolis,Coari,617
13012090003,Itamarati - Coari (AM),AM,Itamarati,Coari,1706
13012090004,Nazaré Pinheiro - Coari (AM),AM,Nazaré Pinheiro,Coari,1605
13012090005,Loteamento Monte Sinai - Coari (AM),AM,Loteamento Monte Sinai,Coari,94
13012090006,Chagas Aguiar - Coari (AM),AM,Chagas Aguiar,Coari,1298
13012090008,Bairro do Pera - Coari (AM),AM,Bairro do Pera,Coari,936
13012090009,Cesário Campelo - Coari (AM),AM,Cesário Campelo,Coari,327
13012090010,Loteamento Jacó - Coari (AM),AM,Loteamento Jacó,Coari,70
13012090011,Loteamento Jerusalém - Coari (AM),AM,Loteamento Jerusalém,Coari,319
13013080001,Grande Vitória - Codajás (AM),AM,Grande Vitória,Codajás,395
13013080002,Comunidade Bela Vista - Codajás (AM),AM,Comunidade Bela Vista,Codajás,273
13013080003,Nova Conquista I - Codajás (AM),AM,Nova Conquista I,Codajás,60
13013080004,Nova Conquista II - Codajás (AM),AM,Nova Conquista II,Codajás,142
13013080005,PETI - Codajás (AM),AM,PETI,Codajás,77
13014070001,Baixada/Morada do Sol - Eirunepé (AM),AM,Baixada/Morada do Sol,Eirunepé,939
13014070002,Ponta do Vento - Eirunepé (AM),AM,Ponta do Vento,Eirunepé,206
13014070003,Abacabal - Eirunepé (AM),AM,Abacabal,Eirunepé,162
13014070004,Campo do Corisco - Eirunepé (AM),AM,Campo do Corisco,Eirunepé,331
13015060001,Várzea - Envira (AM),AM,Várzea,Envira,482
13016540002,Várzea da Floresta - Guajará (AM),AM,Várzea da Floresta,Guajará,95
13018030001,Igarapé da Extrema A - Ipixuna (AM),AM,Igarapé da Extrema A,Ipixuna,330
13018030002,Várzea - Ipixuna (AM),AM,Várzea,Ipixuna,470
13018030003,Igarapé da Extrema B - Ipixuna (AM),AM,Igarapé da Extrema B,Ipixuna,130
13018520001,Cacau Pirera - Iranduba (AM),AM,Cacau Pirera,Iranduba,1733
13018520002,Alto de Nazaré - Iranduba (AM),AM,Alto de Nazaré,Iranduba,730
13018520003,Ariaú - Iranduba (AM),AM,Ariaú,Iranduba,300
13018520004,Graça Lopes - Iranduba (AM),AM,Graça Lopes,Iranduba,1014
13018520005,Lago do Limão - Iranduba (AM),AM,Lago do Limão,Iranduba,562
13018520006,Laranjal - Iranduba (AM),AM,Laranjal,Iranduba,532
13018520007,Nova Veneza - Iranduba (AM),AM,Nova Veneza,Iranduba,696
13018520008,Paricatuba - Iranduba (AM),AM,Paricatuba,Iranduba,352
13018520009,Parque Caboclo - Iranduba (AM),AM,Parque Caboclo,Iranduba,219
13018520010,São José - Iranduba (AM),AM,São José,Iranduba,267
13018520012,São Sebastião - Iranduba (AM),AM,São Sebastião,Iranduba,286
13019020001,Jauary - Itacoatiara (AM),AM,Jauary,Itacoatiara,565
13019020002,Araújo Costa - Itacoatiara (AM),AM,Araújo Costa,Itacoatiara,113
13019020003,Moisés Israel - Itacoatiara (AM),AM,Moisés Israel,Itacoatiara,358
13019020004,Mamoud Amed A - Itacoatiara (AM),AM,Mamoud Amed A,Itacoatiara,566
13019020005,São Francisco - Itacoatiara (AM),AM,São Francisco,Itacoatiara,218
13019020008,Comunidade Nova Jerusalém - Itacoatiara (AM),AM,Comunidade Nova Jerusalém,Itacoatiara,274
13019020009,Área dos Igarapés - Itacoatiara (AM),AM,Área dos Igarapés,Itacoatiara,2158
13019020010,Bairro da Paz - Itacoatiara (AM),AM,Bairro da Paz,Itacoatiara,433
13019020011,Bairro São Francisco - Itacoatiara (AM),AM,Bairro São Francisco,Itacoatiara,439
13019020012,Colônia/Pedreiras - Itacoatiara (AM),AM,Colônia/Pedreiras,Itacoatiara,736
13019020013,Comunidade Boa Esperança - Itacoatiara (AM),AM,Comunidade Boa Esperança,Itacoatiara,65
13019020017,Jardim Florestal/Mamoud Amed - Itacoatiara (AM),AM,Jardim Florestal/Mamoud Amed,Itacoatiara,223
13019020019,João Braga - Itacoatiara (AM),AM,João Braga,Itacoatiara,234
13019020021,Nogueira Júnior - Itacoatiara (AM),AM,Nogueira Júnior,Itacoatiara,457
13019020023,Aningal Prainha - Itacoatiara (AM),AM,Aningal Prainha,Itacoatiara,301
13019020024,Prainha/Santo Antonio - Itacoatiara (AM),AM,Prainha/Santo Antonio,Itacoatiara,250
13019020026,Mamoud Amed B - Itacoatiara (AM),AM,Mamoud Amed B,Itacoatiara,523
13024050001,Beira Rio - Lábrea (AM),AM,Beira Rio,Lábrea,345
13024050002,Igarapé da Fonte - Lábrea (AM),AM,Igarapé da Fonte,Lábrea,62
13024050003,Igarapé da Ponte - Lábrea (AM),AM,Igarapé da Ponte,Lábrea,289
13024050004,Vila Falcão - Lábrea (AM),AM,Vila Falcão,Lábrea,454
13024050005,Beira Rio 2 - Lábrea (AM),AM,Beira Rio 2,Lábrea,353
13024050006,Morro do Macaco/Terra da Vivo - Lábrea (AM),AM,Morro do Macaco/Terra da Vivo,Lábrea,375
13024050007,Beco da Telemar - Lábrea (AM),AM,Beco da Telemar,Lábrea,267
13025040001,Monte Cristo - Manacapuru (AM),AM,Monte Cristo,Manacapuru,325
13025040002,Loteamento Deus é Fiel - Manacapuru (AM),AM,Loteamento Deus é Fiel,Manacapuru,150
13025040004,Morada do Sol - Manacapuru (AM),AM,Morada do Sol,Manacapuru,387
13025040006,Biribiri - Manacapuru (AM),AM,Biribiri,Manacapuru,764
13025040007,Terra Preta - Manacapuru (AM),AM,Terra Preta,Manacapuru,232
13025040008,Nova Manacá - Manacapuru (AM),AM,Nova Manacá,Manacapuru,1142
13025040009,Morada do Sol/União - Manacapuru (AM),AM,Morada do Sol/União,Manacapuru,522
13025040013,Correnteza - Manacapuru (AM),AM,Correnteza,Manacapuru,711
13025040014,São Francisco - Manacapuru (AM),AM,São Francisco,Manacapuru,308
13025040015,Liberdade - Manacapuru (AM),AM,Liberdade,Manacapuru,582
13025040016,Rip-Rap Bairro Liberdade - Manacapuru (AM),AM,Rip-Rap Bairro Liberdade,Manacapuru,183
13025040017,Novo Horizonte - Manacapuru (AM),AM,Novo Horizonte,Manacapuru,317
13025040018,Vale Verde - Manacapuru (AM),AM,Vale Verde,Manacapuru,464
13025040019,São João do Miriti - Manacapuru (AM),AM,São João do Miriti,Manacapuru,337
13026030002,Santa Etelvina - Manaus (AM),AM,Santa Etelvina,Manaus,10575
13026030016,Igarapé de São Raimundo - Manaus (AM),AM,Igarapé de São Raimundo,Manaus,797
13026030017,Igarapé do Crespo - Manaus (AM),AM,Igarapé do Crespo,Manaus,2535
13026030022,Igarapé da Cachoeirinha - Manaus (AM),AM,Igarapé da Cachoeirinha,Manaus,2021
13026030023,Jorge Teixeira - Manaus (AM),AM,Jorge Teixeira,Manaus,4204
13026030024,São Sebastião - Manaus (AM),AM,São Sebastião,Manaus,2726
13026030025,Nossa Senhora de Fátima - Manaus (AM),AM,Nossa Senhora de Fátima,Manaus,3343
13026030026,Colônia Terra Nova - Manaus (AM),AM,Colônia Terra Nova,Manaus,9973
13026030027,Santa Inês - Manaus (AM),AM,Santa Inês,Manaus,3137
13026030033,Sucupira/Monte Sião - Manaus (AM),AM,Sucupira/Monte Sião,Manaus,755
13026030035,Valparaíso - Manaus (AM),AM,Valparaíso,Manaus,1844
13026030036,Nova Floresta - Manaus (AM),AM,Nova Floresta,Manaus,1769
13026030037,Loteamento João Paulo - Manaus (AM),AM,Loteamento João Paulo,Manaus,2768
13026030038,Colônia Chico Mendes - Manaus (AM),AM,Colônia Chico Mendes,Manaus,978
13026030039,Cidade de Deus/Alfredo Nascimento - Manaus (AM),AM,Cidade de Deus/Alfredo Nascimento,Manaus,17641
13026030043,Jardim Tropical - Manaus (AM),AM,Jardim Tropical,Manaus,194
13026030046,Monte Bela Vista - Manaus (AM),AM,Monte Bela Vista,Manaus,1229
13026030048,Riacho Fundo - Manaus (AM),AM,Riacho Fundo,Manaus,3042
13026030050,Novo Reino II - Manaus (AM),AM,Novo Reino II,Manaus,1375
13026030051,Gilberto Mestrinho - Manaus (AM),AM,Gilberto Mestrinho,Manaus,2913
13026030052,Grande Vitória - Manaus (AM),AM,Grande Vitória,Manaus,8568
13026030053,Nova Vitória - Manaus (AM),AM,Nova Vitória,Manaus,4750
13026030055,Igarapé da Castanha - Matinha - Manaus (AM),AM,Igarapé da Castanha - Matinha,Manaus,134
13026030056,Comunidade Lagoa Azul 2 - Manaus (AM),AM,Comunidade Lagoa Azul 2,Manaus,1834
13026030057,Comunidade Nobre - Manaus (AM),AM,Comunidade Nobre,Manaus,925
13026030058,Comunidade 23 de Setembro - Manaus (AM),AM,Comunidade 23 de Setembro,Manaus,534
13026030060,Igarapé da Cachoeira - São Jorge - Manaus (AM),AM,Igarapé da Cachoeira - São Jorge,Manaus,857
13026030061,Santo Agostinho - Manaus (AM),AM,Santo Agostinho,Manaus,2521
13026030062,Meu Bem Meu Mal - Manaus (AM),AM,Meu Bem Meu Mal,Manaus,2280
13026030065,Parque das Nações - Manaus (AM),AM,Parque das Nações,Manaus,1740
13026030067,Comunidade São Pedro - Manaus (AM),AM,Comunidade São Pedro,Manaus,4188
13026030069,Monte das Oliveiras - Manaus (AM),AM,Monte das Oliveiras,Manaus,4537
13026030073,Sapolândia - Manaus (AM),AM,Sapolândia,Manaus,1416
13026030074,Aliança com Deus - Manaus (AM),AM,Aliança com Deus,Manaus,1374
13026030075,Cidade Alta - Manaus (AM),AM,Cidade Alta,Manaus,1047
13026030076,Nossa Senhora do Perpétuo Socorro - Manaus (AM),AM,Nossa Senhora do Perpétuo Socorro,Manaus,1777
13026030077,São Camilo - Manaus (AM),AM,São Camilo,Manaus,334
13026030078,Nova Conquista - Manaus (AM),AM,Nova Conquista,Manaus,2794
13026030079,Comunidade São Lucas - Manaus (AM),AM,Comunidade São Lucas,Manaus,17848
13026030080,Comunidade São João - Manaus (AM),AM,Comunidade São João,Manaus,735
13026030081,Comunidade Parque Santa Itelvina - Manaus (AM),AM,Comunidade Parque Santa Itelvina,Manaus,1093
13026030082,Bairro da União - Manaus (AM),AM,Bairro da União,Manaus,384
13026030083,Igarapé do Mindú Novo Aleixo - Manaus (AM),AM,Igarapé do Mindú Novo Aleixo,Manaus,1300
13026030084,Comunidade Jesus me deu - Manaus (AM),AM,Comunidade Jesus me deu,Manaus,2575
13026030085,Comunidade Santa Marta - Manaus (AM),AM,Comunidade Santa Marta,Manaus,1263
13026030086,Comunidade Riachuelo - Manaus (AM),AM,Comunidade Riachuelo,Manaus,1550
13026030087,Comunidade Raio do Sol - Manaus (AM),AM,Comunidade Raio do Sol,Manaus,887
13026030088,Comunidade Celebridade - Manaus (AM),AM,Comunidade Celebridade,Manaus,606
13026030089,Comunidade Campos Sales - Manaus (AM),AM,Comunidade Campos Sales,Manaus,2353
13026030090,Comunidade Lirio do Campo - Manaus (AM),AM,Comunidade Lirio do Campo,Manaus,696
13026030091,Comunidade Jacarezinho - Manaus (AM),AM,Comunidade Jacarezinho,Manaus,97
13026030092,Comunidade Cristo Rei - Manaus (AM),AM,Comunidade Cristo Rei,Manaus,253
13026030093,Comunidade Portal da Cachoeira - Manaus (AM),AM,Comunidade Portal da Cachoeira,Manaus,331
13026030094,Rip Rap Igarapé do Bombeamento - Manaus (AM),AM,Rip Rap Igarapé do Bombeamento,Manaus,2448
13026030095,Comunidade Pantanal - Manaus (AM),AM,Comunidade Pantanal,Manaus,4376
13026030096,Conjunto Lagoa Verde - Manaus (AM),AM,Conjunto Lagoa Verde,Manaus,693
13026030097,Comunidade da Sharp - Manaus (AM),AM,Comunidade da Sharp,Manaus,4025
13026030098,Comunidade Vila da Felicidade - Manaus (AM),AM,Comunidade Vila da Felicidade,Manaus,303
13026030099,Comunidade 11 de Maio - Manaus (AM),AM,Comunidade 11 de Maio,Manaus,1427
13026030100,Comunidade Buritis III - Manaus (AM),AM,Comunidade Buritis III,Manaus,715
13026030101,Comunidade Coliseu - Manaus (AM),AM,Comunidade Coliseu,Manaus,1528
13026030102,Comunidade Bom Jesus - Manaus (AM),AM,Comunidade Bom Jesus,Manaus,145
13026030103,Comunidade Barcelona - Manaus (AM),AM,Comunidade Barcelona,Manaus,261
13026030104,Comunidade Vila Nova - Manaus (AM),AM,Comunidade Vila Nova,Manaus,164
13026030105,Comunidade Águas Claras - Manaus (AM),AM,Comunidade Águas Claras,Manaus,697
13026030106,Comunidade Castanheira - Manaus (AM),AM,Comunidade Castanheira,Manaus,135
