Cod,Favela_completa,Sigla,Favela,Municipio,Domicilios
29108000013,Frei Inácio Loiola - Feira de Santana (BA),BA,Frei Inácio Loiola,Feira de Santana,96
29108000014,Gabriela I - Feira de Santana (BA),BA,Gabriela I,Feira de Santana,741
29108000015,Humildes - Feira de Santana (BA),BA,Humildes,Feira de Santana,347
29108000016,Invasão do Feira IV - Feira de Santana (BA),BA,Invasão do Feira IV,Feira de Santana,164
29108000018,Irmã Rosa - Feira de Santana (BA),BA,Irmã Rosa,Feira de Santana,266
29108000019,Jaíba - Feira de Santana (BA),BA,Jaíba,Feira de Santana,385
29108000021,Jussara 1 e 2 - Feira de Santana (BA),BA,Jussara 1 e 2,Feira de Santana,696
29108000022,Lagoa do Chico Maia - Feira de Santana (BA),BA,Lagoa do Chico Maia,Feira de Santana,821
29108000023,Lagoa do Prato Raso - Feira de Santana (BA),BA,Lagoa do Prato Raso,Feira de Santana,641
29108000024,Loteamento Armando Araújo/Jardim Brasil - Feira de Santana (BA),BA,Loteamento Armando Araújo/Jardim Brasil,Feira de Santana,316
29108000025,Loteamento da Lagoa - Feira de Santana (BA),BA,Loteamento da Lagoa,Feira de Santana,405
29108000028,Loteamento Parque São José - Feira de Santana (BA),BA,Loteamento Parque São José,Feira de Santana,428
29108000029,Loteamento Tupinambá - Feira de Santana (BA),BA,Loteamento Tupinambá,Feira de Santana,181
29108000031,Mangabeira I - Feira de Santana (BA),BA,Mangabeira I,Feira de Santana,136
29108000032,Monte Pascoal - Feira de Santana (BA),BA,Monte Pascoal,Feira de Santana,556
29108000033,Nossa Senhora da Paz - Feira de Santana (BA),BA,Nossa Senhora da Paz,Feira de Santana,229
29108000034,Nova Esperança - Feira de Santana (BA),BA,Nova Esperança,Feira de Santana,493
29108000036,Papagaio - Feira de Santana (BA),BA,Papagaio,Feira de Santana,638
29108000037,Parque das Águas - Feira de Santana (BA),BA,Parque das Águas,Feira de Santana,332
29108000038,Parque Regência - Feira de Santana (BA),BA,Parque Regência,Feira de Santana,595
29108000039,Parque São Jorge/Lagoa Juca Campelo - Feira de Santana (BA),BA,Parque São Jorge/Lagoa Juca Campelo,Feira de Santana,237
29108000040,Renascer - Feira de Santana (BA),BA,Renascer,Feira de Santana,472
29108000041,Rua Lençóis - Feira de Santana (BA),BA,Rua Lençóis,Feira de Santana,146
29108000042,Rua Nova - Feira de Santana (BA),BA,Rua Nova,Feira de Santana,671
29108000044,Santa Rita - Feira de Santana (BA),BA,Santa Rita,Feira de Santana,500
29108000047,São João do Cazumbá - Feira de Santana (BA),BA,São João do Cazumbá,Feira de Santana,93
29108000048,Sérgio Carneiro - Feira de Santana (BA),BA,Sérgio Carneiro,Feira de Santana,294
29108000049,Três Riachos - Feira de Santana (BA),BA,Três Riachos,Feira de Santana,258
29108000050,Vila Fluminense - Feira de Santana (BA),BA,Vila Fluminense,Feira de Santana,225
29108000051,Vila São José - Feira de Santana (BA),BA,Vila São José,Feira de Santana,106
29108000056,Limoeiro - Feira de Santana (BA),BA,Limoeiro,Feira de Santana,102
29108000057,Loteamento Campelo/Parque Zé Matim - Feira de Santana (BA),BA,Loteamento Campelo/Parque Zé Matim,Feira de Santana,678
29108000058,Marcos Figueiredo - Feira de Santana (BA),BA,Marcos Figueiredo,Feira de Santana,372
